,ANIO_DENUNCIA,ANIO_HECHO,CAPTURA,CONDENA,DELITO,DEPARTAMENTO,ESTADO_NOTICIA,ETAPA,GRUPO_EDAD_VICTIMA,HECHO,HOMICIDIO_DOLOSO_CONSUMADO,IMPUTACION,MUNICIPIO,PAIS,PAIS_NACIMIENTO,SEXO_VICTIMA,TOTAL_VICTIMAS,TOTAL_POBLACIÓN,TOTAL_FEMINICIDIOS,PORCENTAJE_TOTAL,PORCENTAJE_FEMINICIDIOS,MUNICIPIO_UNICO,PORCENTAJE_FEMINICIDIOS_UNICO
71,2016,2015,NO,NO,FEMINICIDIO ART. 104A C.P.,Caldas,ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,PÁCORA,Colombia,Colombia,MASCULINO,1,10608,10,100%,0.0942684766214178%,FONSECA,0.00842436325854371%
72,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,MEDELLÍN,Colombia,Colombia,MASCULINO,1,2569007,215,100%,0.00836899237721034%,PLATO,0.0174869642630039%
73,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,MEDELLÍN,Colombia,Colombia,FEMENINO,1,2569007,215,100%,0.00836899237721034%,ARIGUANÍ,0.0152634470968924%
74,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Antioquia,INACTIVO,INVESTIGACIÓN,SIN DATO,SI,NO,SI,EL BAGRE,Colombia,Colombia,FEMENINO,1,51150,2,100%,0.00391006842619746%,ARACATACA,0.00477646159724876%
75,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,SOLEDAD,Colombia,Colombia,FEMENINO,1,700970,35,100%,0.00499308101630598%,RESTREPO,0.102659822678488%
76,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,Atlántico,INACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,BARRANQUILLA,Colombia,Colombia,MASCULINO,1,1239804,86,100%,0.00693658029817616%,ACACÍAS,0.00390254055390059%
77,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,LA MACARENA,0.00529044545550735%
78,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,3,8380801,884,100%,0.0105479177944924%,PASTO,0.00644956013999845%
79,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,5,8380801,884,100%,0.0105479177944924%,TIBÚ,0.0320384461353624%
80,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,MASCULINO,4,8380801,884,100%,0.0105479177944924%,SANTUARIO,0.0125778252940067%
81,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,INDAGACIÓN,SIN DATO,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,3,8380801,884,100%,0.0105479177944924%,BOLÍVAR,0.0111447931526391%
82,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,JUICIO,JUVENTUD 18 - 28,SI,NO,SI,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,2,8380801,884,100%,0.0105479177944924%,GUACA,0.0161969549724652%
83,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",ACTIVO,TERMINACIÓN ANTICIPADA,JUVENTUD 18 - 28,SI,SI,SI,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,GIRÓN,0.00485425111040994%
84,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADOLESCENTE 14 - 17,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,GÜEPSA,0.0546298825457525%
85,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,SAN JUAN DE BETULIA,0.015864202427223%
86,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,ADULTEZ 29 - 59,SI,SI,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,GUADALAJARA DE BUGA,0.00701428283341955%
87,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,JUVENTUD 18 - 28,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,1,8380801,884,100%,0.0105479177944924%,MALAMBO,0.00686587887063921%
88,2016,2016,NO,NO,FEMINICIDIO ART. 104A C.P.,"BOGOTÁ, D. C.",INACTIVO,INDAGACIÓN,SIN DATO,SI,NO,NO,"BOGOTÁ, D.C.",Colombia,Colombia,FEMENINO,9,8380801,884,100%,0.0105479177944924%,EL ROSAL,0.0155819872227705%
